deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA331582,Vigier,Philippe,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Eure-et-Loir,4,2026-01-28,2026-02-27,577,189,0,388,0.3276,49,140,0,0,0,,11,0,0,,,
PA331973,Got,Pascale,SOC,Socialistes et apparentés,Parti socialiste,Gironde,5,2026-01-28,2026-02-27,577,180,0,397,0.3120,51,122,7,0,0,,132,0,0,,,
PA332228,Benoit,Thierry,HOR,Horizons & Indépendants,Horizons,Ille-et-Vilaine,6,2026-01-28,2026-02-27,577,130,0,447,0.2253,66,47,17,1,0,0.0000,80,0,0,,,
PA332523,Dalloz,Marie-Christine,DR,Droite Républicaine,Les Républicains,Jura,2,2026-01-28,2026-02-27,577,11,0,566,0.0191,6,5,0,20,0,0.0000,222,0,0,,,
PA333285,Garot,Guillaume,SOC,Socialistes et apparentés,Parti socialiste,Mayenne,1,2026-01-28,2026-02-27,577,157,0,420,0.2721,51,99,7,0,0,,129,0,0,,,
PA335054,Karamanli,Marietta,SOC,Socialistes et apparentés,Parti socialiste,Sarthe,2,2026-01-28,2026-02-27,577,112,0,465,0.1941,19,89,4,0,0,,147,0,0,,,
PA335612,Lecoq,Jean-Paul,GDR,Gauche Démocrate et Républicaine,Parti communiste français,Seine-Maritime,8,2026-01-28,2026-02-27,577,16,0,561,0.0277,12,3,1,0,0,,124,0,0,,,
PA335758,Riester,Franck,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Seine-et-Marne,5,2026-01-28,2026-02-27,577,6,0,571,0.0104,5,1,0,0,0,,53,0,0,,,
PA335999,Batho,Delphine,ECOS,Écologiste et Social,Les Écologistes - EELV,Deux-Sèvres,2,2026-01-28,2026-02-27,577,67,0,510,0.1161,13,53,1,0,0,,5,0,0,,,
PA340343,Saulignac,Hervé,SOC,Socialistes et apparentés,Parti socialiste,Ardèche,1,2026-01-28,2026-02-27,577,78,0,499,0.1352,27,48,3,12,1,0.0833,141,0,0,,,
PA341981,Récalde,Marie,SOC,Socialistes et apparentés,Parti socialiste,Gironde,6,2026-01-28,2026-02-27,577,100,0,477,0.1733,18,78,4,0,0,,129,0,0,,,
PA342196,Rouaux,Claudia,SOC,Socialistes et apparentés,Parti socialiste,Ille-et-Vilaine,3,2026-01-28,2026-02-27,577,181,0,396,0.3137,67,107,7,0,0,,136,0,0,,,
PA342240,Bourgeaux,Jean-Luc,DR,Droite Républicaine,Les Républicains,Ille-et-Vilaine,7,2026-01-28,2026-02-27,577,33,0,544,0.0572,19,11,3,0,0,,42,0,0,,,
PA342384,Martin,Élisa,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Isère,3,2026-01-28,2026-02-27,577,68,0,509,0.1179,37,27,4,3,0,0.0000,496,0,0,,,
PA342415,Battistel,Marie-Noëlle,SOC,Socialistes et apparentés,Parti socialiste,Isère,4,2026-01-28,2026-02-27,577,195,0,382,0.3380,56,135,4,68,55,0.8088,155,0,0,,,
PA345722,Le Grip,Constance,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Hauts-de-Seine,6,2026-01-28,2026-02-27,577,21,0,556,0.0364,12,9,0,5,0,0.0000,125,0,0,,,
PA346782,Juvin,Philippe,DR,Droite Républicaine,Les Républicains,Hauts-de-Seine,3,2026-01-28,2026-02-27,577,218,0,359,0.3778,163,47,8,124,0,0.0000,463,0,0,,,
PA368,Barnier,Michel,DR,Droite Républicaine,Les Républicains,Paris,2,2026-01-28,2026-02-27,577,26,0,551,0.0451,20,6,0,0,0,,30,0,0,,,
PA408578,Berger,Jean-Didier,DR,Droite Républicaine,Les Républicains,Hauts-de-Seine,12,2026-01-28,2026-02-27,577,57,15,505,0.0988,26,21,10,3,0,0.0000,32,0,0,,,
PA569,Bonnecarrère,Philippe,NI,Non inscrit,Alliance centriste,Tarn,1,2026-01-28,2026-02-27,577,71,0,506,0.1231,34,36,1,0,0,,0,0,0,,,
PA588884,Autain,Clémentine,ECOS,Écologiste et Social,Parti communiste français,Seine-Saint-Denis,11,2026-01-28,2026-02-27,577,44,0,533,0.0763,9,35,0,0,0,,131,0,0,,,
PA605694,Falorni,Olivier,DEM,Les Démocrates,Alliance centriste,Charente-Maritime,1,2026-01-28,2026-02-27,577,263,0,314,0.4558,49,214,0,0,0,,62,0,0,,,
PA605745,Sansu,Nicolas,GDR,Gauche Démocrate et Républicaine,Parti communiste français,Cher,2,2026-01-28,2026-02-27,577,99,0,478,0.1716,19,76,4,17,0,0.0000,74,0,0,,,
PA605782,Marcangeli,Laurent,HOR,Horizons & Indépendants,Horizons,Corse-du-Sud,1,2026-01-28,2026-02-27,577,7,0,570,0.0121,2,4,1,0,0,,35,0,0,,,
PA606507,Boudié,Florent,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Gironde,10,2026-01-28,2026-02-27,577,34,0,543,0.0589,20,13,1,3,1,0.3333,56,0,0,,,
PA606545,Roumégas,Jean-Louis,ECOS,Écologiste et Social,Les Écologistes - EELV,Hérault,1,2026-01-28,2026-02-27,577,64,0,513,0.1109,10,54,0,0,0,,82,0,0,,,
PA606573,Dombre Coste,Fanny,SOC,Socialistes et apparentés,Parti socialiste,Hérault,3,2026-01-28,2026-02-27,577,170,0,407,0.2946,53,113,4,17,4,0.2353,144,0,0,,,
PA606793,Baumel,Laurent,SOC,Socialistes et apparentés,Parti socialiste,Indre-et-Loire,4,2026-01-28,2026-02-27,577,175,0,402,0.3033,61,110,4,17,1,0.0588,112,0,0,,,
PA607090,Vigier,Jean-Pierre,DR,Droite Républicaine,Les Républicains,Haute-Loire,2,2026-01-28,2026-02-27,577,33,0,544,0.0572,19,13,1,27,4,0.1481,123,0,0,,,
PA607193,Errante,Sophie,NI,Non inscrit,Régions et peuples solidaires,Loire-Atlantique,10,2026-01-28,2026-02-27,577,204,0,373,0.3536,47,156,1,0,0,,6,0,0,,,
PA607395,Travert,Stéphane,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Manche,3,2026-01-28,2026-02-27,577,57,0,520,0.0988,24,32,1,2,0,0.0000,55,0,0,,,
PA607553,Potier,Dominique,SOC,Socialistes et apparentés,Parti socialiste,Meurthe-et-Moselle,5,2026-01-28,2026-02-27,577,219,0,358,0.3795,127,73,19,85,3,0.0353,123,0,0,,,
PA607619,Molac,Paul,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Morbihan,4,2026-01-28,2026-02-27,577,25,0,552,0.0433,15,9,1,1,0,0.0000,92,0,0,,,
PA608016,Louwagie,Véronique,DR,Droite Républicaine,Les Républicains,Orne,2,2026-01-28,2026-02-27,577,29,0,548,0.0503,17,11,1,20,0,0.0000,95,0,0,,,
PA608172,Pirès Beaune,Christine,SOC,Socialistes et apparentés,Parti socialiste,Puy-de-Dôme,2,2026-01-28,2026-02-27,577,140,0,437,0.2426,45,89,6,21,0,0.0000,109,0,0,,,
PA608264,Capdevielle,Colette,SOC,Socialistes et apparentés,Parti socialiste,Pyrénées-Atlantiques,5,2026-01-28,2026-02-27,577,142,0,435,0.2461,22,119,1,5,1,0.2000,146,0,0,,,
PA608416,Hetzel,Patrick,DR,Droite Républicaine,Les Républicains,Bas-Rhin,7,2026-01-28,2026-02-27,577,344,0,233,0.5962,231,102,11,251,15,0.0598,454,0,0,,,
PA608826,Duby-Muller,Virginie,DR,Droite Républicaine,Les Républicains,Haute-Savoie,4,2026-01-28,2026-02-27,577,63,0,514,0.1092,52,11,0,12,0,0.0000,202,0,0,,,
PA609332,Faure,Olivier,SOC,Socialistes et apparentés,Parti socialiste,Seine-et-Marne,11,2026-01-28,2026-02-27,577,3,0,574,0.0052,3,0,0,0,0,,129,0,0,,,
PA610002,Sas,Eva,ECOS,Écologiste et Social,Les Écologistes - EELV,Paris,8,2026-01-28,2026-02-27,577,109,0,468,0.1889,18,90,1,2,0,0.0000,135,0,0,,,
PA610654,Nilor,Jean-Philippe,LFI-NFP,La France insoumise - Nouveau Front Populaire,Péyi-A,Martinique,4,2026-01-28,2026-02-27,577,36,0,541,0.0624,7,19,10,0,0,,499,0,0,,,
PA610968,Amirshahi,Pouria,ECOS,Écologiste et Social,Les Écologistes - EELV,Paris,5,2026-01-28,2026-02-27,577,158,0,419,0.2738,52,104,2,0,0,,153,0,0,,,
PA642695,Bothorel,Éric,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Côtes-d'Armor,5,2026-01-28,2026-02-27,577,95,0,482,0.1646,24,71,0,11,0,0.0000,52,0,0,,,
PA642725,Liégeon,Eric,DR,Droite Républicaine,Les Républicains,Doubs,5,2026-01-28,2026-02-27,577,164,0,413,0.2842,80,66,18,12,1,0.0833,129,0,0,,,
